수강번호,학습자ID,강좌ID,등록일,시작일,완료일,진행률(%),상태,학습시간
E00135,L0129,C005,2026-05-29,2026-05-29,2026-07-06,100,완료,46
E00136,L0181,C047,2025-07-25,2025-07-25,,79,진행중,342
E00137,L0171,C008,2025-08-25,2025-08-25,2025-09-25,100,완료,108
E00138,L0126,C035,2026-04-19,2026-04-19,2026-04-19,100,완료,47
E00139,L0141,C038,2026-05-26,2026-05-26,,61,진행중,35
E00140,L0174,C047,2025-07-22,2025-07-22,,84,진행중,598
E00141,L0197,C002,2025-10-07,2025-10-07,,95,진행중,147
E00142,L0009,C043,2026-03-01,2026-03-01,,97,진행중,168
E00143,L0110,C038,2025-09-20,2025-09-20,,49,진행중,232
E00144,L0072,C023,2026-03-04,2026-03-04,2026-03-18,100,완료,361
E00145,L0096,C041,2026-02-18,2026-02-18,2026-03-08,100,완료,4
E00146,L0126,C043,2026-01-31,2026-01-31,,42,진행중,135
E00147,L0040,C004,2025-10-24,2025-10-24,,70,진행중,345
E00148,L0017,C035,2025-12-23,2025-12-23,,62,중단,103
E00149,L0100,C012,2026-02-19,2026-02-19,,30,진행중,187
E00150,L0130,C021,2025-07-03,,,0,미시작,40
E00151,L0193,C001,2025-10-01,2025-10-01,2025-10-08,100,완료,164
E00152,L0021,C033,2026-04-29,2026-04-29,,20,진행중,161
E00153,L0102,C025,2026-03-23,2026-03-23,2026-05-19,100,완료,257
E00154,L0034,C026,2025-08-26,2025-08-26,2025-09-18,100,완료,125
E00155,L0160,C023,2026-03-03,2026-03-03,2026-04-27,100,완료,148
E00156,L0162,C020,2025-08-14,2025-08-14,,29,중단,6
E00157,L0194,C036,2025-06-21,2025-06-21,,80,중단,89
E00158,L0175,C034,2025-10-02,2025-10-02,2025-10-03,100,완료,101
E00159,L0088,C025,2025-08-06,2025-08-06,,84,진행중,572
E00160,L0079,C020,2025-07-04,2025-07-04,,28,진행중,38
E00161,L0090,C017,2026-05-22,2026-05-22,2026-07-16,100,완료,458
E00162,L0096,C044,2025-07-12,2025-07-12,,34,진행중,430
E00163,L0097,C033,2026-04-26,2026-04-26,2026-05-25,100,완료,12
E00164,L0095,C030,2026-04-09,2026-04-09,2026-05-26,100,완료,142
E00165,L0008,C045,2026-04-26,,,0,미시작,86
E00166,L0010,C024,2025-08-05,2025-08-05,2025-09-19,100,완료,440
E00167,L0012,C006,2025-07-18,2025-07-18,2025-07-25,100,완료,85
E00168,L0085,C023,2025-07-04,,,0,미시작,451
E00169,L0064,C027,2026-04-15,2026-04-15,,47,진행중,181
E00170,L0149,C048,2025-08-29,2025-08-29,2025-09-22,100,완료,320
E00171,L0123,C032,2025-08-27,2025-08-27,2025-09-01,100,완료,304
E00172,L0193,C034,2026-04-03,,,0,미시작,30
E00173,L0114,C009,2026-02-08,2026-02-08,2026-02-10,100,완료,440
E00174,L0038,C019,2026-03-07,2026-03-07,2026-04-23,100,완료,107
E00175,L0076,C016,2026-02-22,2026-02-22,2026-03-26,100,완료,6
E00176,L0183,C033,2026-06-01,2026-06-01,,39,진행중,216
E00177,L0040,C045,2025-09-15,,,0,미시작,3
E00178,L0120,C040,2025-10-02,2025-10-02,2025-11-06,100,완료,133
E00179,L0018,C039,2025-10-02,2025-10-02,,93,진행중,309
E00180,L0019,C035,2025-12-29,2025-12-29,2026-01-06,100,완료,85
E00181,L0049,C046,2025-09-12,2025-09-12,,23,진행중,89
E00182,L0086,C035,2025-07-16,2025-07-16,2025-08-08,100,완료,59
E00183,L0052,C045,2025-12-29,2025-12-29,,30,중단,95
E00184,L0001,C042,2026-05-24,2026-05-24,2026-07-04,100,완료,57
E00185,L0119,C024,2025-12-23,2025-12-23,2026-01-17,100,완료,92
E00186,L0186,C041,2025-12-12,2025-12-12,2025-12-17,100,완료,41
E00187,L0070,C047,2026-04-19,2026-04-19,2026-06-15,100,완료,351
E00188,L0140,C040,2026-01-01,,,0,미시작,1
E00189,L0119,C014,2025-09-19,2025-09-19,,24,진행중,18
E00190,L0188,C025,2025-07-12,2025-07-12,2025-09-06,100,완료,481
E00191,L0093,C004,2025-10-28,2025-10-28,,85,진행중,32
E00192,L0193,C039,2025-11-25,2025-11-25,,42,진행중,93
E00193,L0096,C013,2026-01-16,2026-01-16,2026-01-22,100,완료,12
E00194,L0028,C044,2025-10-18,2025-10-18,2025-10-20,100,완료,176
E00195,L0094,C020,2025-10-16,2025-10-16,,92,진행중,24
E00196,L0145,C010,2026-02-08,2026-02-08,2026-04-02,100,완료,383
E00197,L0012,C036,2025-11-07,2025-11-07,,61,진행중,76
E00198,L0018,C020,2026-02-05,2026-02-05,2026-03-15,100,완료,105
E00199,L0084,C042,2025-09-06,2025-09-06,2025-09-13,100,완료,77
E00200,L0011,C048,2025-09-20,2025-09-20,,72,중단,191
E00201,L0063,C023,2026-01-16,2026-01-16,,41,중단,351
E00202,L0006,C024,2025-06-11,,,0,미시작,138
E00203,L0019,C029,2026-06-10,2026-06-10,,70,진행중,246
E00204,L0156,C041,2026-05-19,2026-05-19,2026-06-02,100,완료,49
E00205,L0099,C023,2025-08-15,,,0,미시작,420
E00206,L0039,C047,2025-11-24,2025-11-24,2026-01-07,100,완료,474
E00207,L0103,C018,2025-12-06,2025-12-06,2025-12-17,100,완료,118
E00208,L0041,C028,2025-11-17,2025-11-17,2025-12-31,100,완료,188
E00209,L0106,C045,2025-12-04,,,0,미시작,26
E00210,L0075,C006,2026-01-04,2026-01-04,,22,진행중,224
E00211,L0137,C019,2025-09-12,,,0,미시작,59
E00212,L0064,C039,2025-06-21,2025-06-21,2025-07-19,100,완료,253
E00213,L0192,C021,2025-10-06,2025-10-06,2025-12-01,100,완료,253
E00214,L0132,C003,2026-01-15,2026-01-15,2026-03-15,100,완료,324
E00215,L0158,C027,2026-04-15,2026-04-15,2026-05-31,100,완료,139
E00216,L0125,C034,2025-07-01,2025-07-01,2025-07-10,100,완료,104
E00217,L0008,C009,2025-11-24,2025-11-24,2025-12-18,100,완료,555
E00218,L0043,C034,2026-05-15,2026-05-15,,43,진행중,102
E00219,L0144,C020,2026-02-27,2026-02-27,2026-03-11,100,완료,50
E00220,L0027,C033,2025-10-01,2025-10-01,2025-11-09,100,완료,166
E00221,L0193,C018,2025-10-17,2025-10-17,2025-11-08,100,완료,116
E00222,L0079,C014,2025-08-27,2025-08-27,,66,진행중,5
E00223,L0169,C024,2026-05-07,2026-05-07,2026-06-22,100,완료,460
E00224,L0176,C020,2026-04-04,2026-04-04,2026-05-30,100,완료,66
E00225,L0070,C014,2025-12-29,2025-12-29,2026-01-04,100,완료,79
E00226,L0006,C016,2025-11-12,2025-11-12,2025-12-17,100,완료,41
E00227,L0129,C017,2026-03-02,2026-03-02,2026-04-15,100,완료,191
E00228,L0006,C042,2026-01-23,2026-01-23,2026-02-01,100,완료,113
E00229,L0071,C024,2026-04-17,2026-04-17,2026-05-05,100,완료,296
E00230,L0076,C041,2026-03-30,2026-03-30,,21,중단,4
E00231,L0053,C023,2025-12-20,2025-12-20,,78,중단,249
E00232,L0090,C037,2026-05-31,2026-05-31,2026-07-15,100,완료,333
E00233,L0167,C027,2025-11-15,2025-11-15,2025-12-23,100,완료,71
E00234,L0057,C012,2026-03-28,2026-03-28,2026-05-22,100,완료,254
E00235,L0091,C014,2025-09-06,2025-09-06,2025-10-12,100,완료,208
E00236,L0047,C041,2026-05-17,2026-05-17,,64,진행중,101
E00237,L0179,C034,2025-07-30,2025-07-30,2025-08-17,100,완료,34
E00238,L0025,C046,2025-08-12,2025-08-12,,98,진행중,193
E00239,L0057,C027,2026-03-13,2026-03-13,2026-05-11,100,완료,138
E00240,L0056,C001,2025-06-16,2025-06-16,2025-07-29,100,완료,32
E00241,L0026,C014,2025-12-28,,,0,미시작,212
E00242,L0032,C045,2025-12-06,2025-12-06,2025-12-24,100,완료,12
E00243,L0180,C002,2025-11-07,2025-11-07,,54,중단,205
E00244,L0106,C043,2025-07-27,2025-07-27,2025-09-04,100,완료,2
E00245,L0052,C015,2026-05-27,2026-05-27,2026-06-16,100,완료,99
E00246,L0085,C040,2026-04-27,,,0,미시작,169
E00247,L0134,C017,2026-04-03,2026-04-03,2026-05-30,100,완료,457
E00248,L0178,C038,2025-11-21,2025-11-21,2025-12-20,100,완료,227
E00249,L0057,C038,2025-07-27,2025-07-27,,15,진행중,412
E00250,L0098,C004,2026-06-06,2026-06-06,,95,진행중,192
E00251,L0060,C049,2025-09-18,2025-09-18,,14,중단,354
E00252,L0044,C011,2025-07-02,2025-07-02,,52,중단,231
E00253,L0143,C042,2026-01-27,2026-01-27,,67,진행중,27
E00254,L0009,C006,2026-01-17,2026-01-17,2026-02-15,100,완료,199
E00255,L0122,C030,2025-08-26,2025-08-26,,64,중단,376
E00256,L0029,C049,2025-10-03,2025-10-03,,68,진행중,309
E00257,L0144,C018,2025-08-31,2025-08-31,2025-09-28,100,완료,104
E00258,L0017,C003,2025-06-24,2025-06-24,,72,진행중,1
E00259,L0183,C015,2026-03-09,2026-03-09,,62,중단,632
E00260,L0103,C010,2025-09-21,2025-09-21,2025-09-26,100,완료,308
E00261,L0162,C021,2026-04-16,2026-04-16,2026-05-01,100,완료,463
E00262,L0198,C007,2025-11-06,2025-11-06,,30,중단,60
E00263,L0157,C026,2026-03-06,2026-03-06,,32,중단,176
E00264,L0102,C003,2025-07-05,2025-07-05,,87,진행중,243
E00265,L0162,C017,2025-10-07,2025-10-07,,36,진행중,57
E00266,L0112,C038,2025-10-17,2025-10-17,,46,중단,257
E00267,L0119,C050,2025-09-27,2025-09-27,,65,진행중,228
E00268,L0107,C049,2025-11-30,2025-11-30,,59,진행중,223
E00269,L0113,C003,2025-12-24,2025-12-24,,42,중단,387
E00270,L0137,C002,2026-05-24,2026-05-24,,13,중단,2
E00271,L0032,C008,2026-01-02,,,0,미시작,402
E00272,L0097,C021,2025-10-07,2025-10-07,2025-11-04,100,완료,314
E00273,L0026,C008,2025-08-29,,,0,미시작,253
E00274,L0054,C021,2025-08-27,2025-08-27,2025-09-20,100,완료,36
E00275,L0061,C043,2026-03-25,2026-03-25,,85,진행중,30
E00276,L0132,C048,2026-01-05,2026-01-05,2026-01-23,100,완료,283
E00277,L0143,C023,2026-04-20,2026-04-20,2026-04-30,100,완료,142
E00278,L0013,C050,2026-03-22,2026-03-22,,68,진행중,236
E00279,L0163,C026,2025-06-29,2025-06-29,2025-07-26,100,완료,448
E00280,L0173,C017,2025-11-19,2025-11-19,2025-11-26,100,완료,182
E00281,L0176,C006,2025-09-08,2025-09-08,,21,진행중,239
E00282,L0136,C049,2026-03-03,2026-03-03,2026-04-05,100,완료,221
E00283,L0125,C035,2025-08-29,2025-08-29,2025-10-14,100,완료,30
E00284,L0022,C010,2026-05-15,2026-05-15,2026-06-05,100,완료,242
E00285,L0114,C005,2025-08-29,2025-08-29,,18,진행중,21
E00286,L0074,C001,2025-06-14,2025-06-14,2025-06-29,100,완료,50
E00287,L0164,C042,2025-12-03,2025-12-03,2025-12-25,100,완료,0
E00288,L0017,C003,2025-09-27,2025-09-27,2025-11-25,100,완료,309
E00289,L0118,C040,2025-07-21,2025-07-21,2025-09-02,100,완료,206
E00290,L0192,C043,2026-05-16,2026-05-16,,21,중단,286
E00291,L0182,C039,2025-07-03,2025-07-03,2025-08-03,100,완료,35
E00292,L0071,C003,2025-10-29,2025-10-29,2025-11-21,100,완료,347
E00293,L0105,C029,2026-01-20,2026-01-20,2026-01-22,100,완료,364
E00294,L0174,C043,2026-03-08,2026-03-08,2026-03-12,100,완료,46
E00295,L0125,C046,2026-05-01,2026-05-01,,77,진행중,194
E00296,L0172,C026,2025-06-16,2025-06-16,2025-06-21,100,완료,27
E00297,L0156,C011,2026-04-12,2026-04-12,,16,진행중,157
E00298,L0126,C048,2026-04-26,2026-04-26,2026-05-28,100,완료,73
E00299,L0149,C044,2026-01-23,2026-01-23,2026-02-27,100,완료,467
E00300,L0118,C044,2026-02-15,,,0,미시작,103
E00301,L0130,C034,2026-03-05,2026-03-05,2026-03-14,100,완료,91
E00302,L0155,C017,2025-09-20,2025-09-20,2025-09-29,100,완료,446
E00303,L0158,C018,2025-12-18,2025-12-18,,71,진행중,62
E00304,L0073,C026,2026-04-25,2026-04-25,2026-06-13,100,완료,302
E00305,L0135,C034,2026-03-20,2026-03-20,2026-05-10,100,완료,97
E00306,L0065,C017,2025-08-05,2025-08-05,,92,진행중,391
E00307,L0112,C020,2026-04-15,2026-04-15,2026-05-26,100,완료,84
E00308,L0003,C042,2025-09-06,2025-09-06,2025-10-14,100,완료,52
E00309,L0163,C046,2026-05-15,2026-05-15,,74,진행중,229
E00310,L0188,C018,2026-03-20,2026-03-20,,55,진행중,11
E00311,L0183,C047,2025-07-11,2025-07-11,,23,진행중,520
E00312,L0050,C007,2026-02-25,2026-02-25,,28,진행중,7
E00313,L0187,C017,2026-05-19,2026-05-19,,84,진행중,134
E00314,L0069,C014,2026-01-23,2026-01-23,2026-03-08,100,완료,93
E00315,L0151,C006,2026-05-04,2026-05-04,,86,중단,166
E00316,L0136,C016,2025-07-11,2025-07-11,,33,중단,76
E00317,L0164,C030,2026-01-30,2026-01-30,,33,중단,297
E00318,L0044,C036,2026-04-25,2026-04-25,2026-04-28,100,완료,8
E00319,L0107,C022,2026-03-04,2026-03-04,2026-04-15,100,완료,64
E00320,L0106,C003,2025-11-17,2025-11-17,,94,진행중,91
E00321,L0046,C018,2026-02-25,2026-02-25,2026-04-01,100,완료,68
E00322,L0099,C013,2026-04-05,2026-04-05,,78,진행중,12
E00323,L0163,C006,2026-03-30,2026-03-30,2026-05-28,100,완료,1
E00324,L0199,C035,2026-05-06,2026-05-06,,47,진행중,99
E00325,L0144,C025,2025-11-10,2025-11-10,,17,진행중,202
E00326,L0197,C016,2025-09-05,2025-09-05,,70,진행중,75
E00327,L0046,C032,2025-08-10,2025-08-10,2025-09-01,100,완료,277
E00328,L0072,C004,2026-01-15,2026-01-15,2026-02-20,100,완료,83
E00329,L0013,C002,2025-12-20,,,0,미시작,164
E00330,L0101,C033,2026-02-02,2026-02-02,2026-02-10,100,완료,28
E00331,L0130,C049,2025-10-15,,,0,미시작,39
E00332,L0153,C003,2026-01-16,2026-01-16,,38,진행중,215
E00333,L0135,C015,2025-09-13,2025-09-13,,40,중단,384
E00334,L0019,C035,2025-12-25,2025-12-25,,72,중단,92
E00335,L0015,C009,2026-03-30,2026-03-30,2026-04-03,100,완료,258
E00336,L0123,C035,2025-10-26,2025-10-26,2025-12-12,100,완료,54
E00337,L0017,C021,2025-06-27,2025-06-27,,60,진행중,415
E00338,L0005,C024,2025-06-25,2025-06-25,2025-07-29,100,완료,418
E00339,L0108,C042,2026-03-19,2026-03-19,,74,진행중,31
E00340,L0141,C034,2026-05-14,,,0,미시작,80
E00341,L0033,C045,2025-06-19,2025-06-19,2025-08-05,100,완료,73
E00342,L0073,C049,2025-10-29,2025-10-29,2025-12-15,100,완료,256
E00343,L0182,C019,2026-04-27,2026-04-27,,81,진행중,119
E00344,L0117,C046,2025-06-15,2025-06-15,,13,진행중,168
E00345,L0124,C014,2025-09-16,2025-09-16,,43,중단,79
E00346,L0080,C018,2025-06-14,2025-06-14,,85,진행중,26
E00347,L0038,C050,2026-04-01,2026-04-01,2026-04-04,100,완료,28
E00348,L0189,C030,2025-12-18,2025-12-18,2026-02-04,100,완료,185
E00349,L0117,C015,2026-02-22,2026-02-22,,65,진행중,452
E00350,L0152,C001,2025-07-16,2025-07-16,2025-07-20,100,완료,235
E00351,L0110,C029,2026-06-04,2026-06-04,2026-06-11,100,완료,220
E00352,L0119,C050,2026-04-14,2026-04-14,,48,중단,443
E00353,L0115,C007,2025-08-26,2025-08-26,,22,중단,109
E00354,L0109,C002,2026-02-25,2026-02-25,,65,진행중,215
E00355,L0136,C049,2025-10-14,2025-10-14,2025-12-01,100,완료,353
E00356,L0034,C050,2026-03-02,2026-03-02,2026-04-26,100,완료,414
E00357,L0194,C027,2026-04-20,2026-04-20,2026-05-14,100,완료,55
E00358,L0040,C045,2025-12-19,2025-12-19,2026-01-20,100,완료,41
E00359,L0133,C016,2025-10-28,2025-10-28,,25,진행중,175
E00360,L0196,C008,2026-02-22,,,0,미시작,471
E00361,L0149,C019,2026-05-07,2026-05-07,,60,진행중,230
E00362,L0076,C037,2025-08-24,,,0,미시작,241
E00363,L0127,C042,2026-01-21,2026-01-21,2026-02-18,100,완료,74
E00364,L0184,C041,2026-04-22,2026-04-22,,10,중단,88
E00365,L0098,C043,2026-06-05,2026-06-05,2026-07-12,100,완료,281
E00366,L0114,C038,2026-03-04,2026-03-04,2026-03-29,100,완료,347
E00367,L0042,C035,2026-01-31,2026-01-31,2026-03-10,100,완료,24
E00368,L0189,C035,2026-05-14,2026-05-14,,65,진행중,91
E00369,L0002,C038,2026-04-27,2026-04-27,2026-05-10,100,완료,423
E00370,L0053,C041,2025-07-25,2025-07-25,,31,진행중,26
E00371,L0080,C022,2026-05-08,2026-05-08,,38,진행중,18
E00372,L0195,C017,2025-12-02,,,0,미시작,380
E00373,L0131,C044,2025-07-12,2025-07-12,,79,중단,434
E00374,L0197,C030,2025-10-12,,,0,미시작,129
E00375,L0188,C046,2025-08-26,2025-08-26,,62,진행중,143
E00376,L0122,C009,2025-07-19,2025-07-19,2025-07-29,100,완료,486
E00377,L0139,C049,2025-11-12,,,0,미시작,71
E00378,L0106,C046,2025-12-19,2025-12-19,2026-01-05,100,완료,233
E00379,L0124,C043,2026-03-14,2026-03-14,2026-04-13,100,완료,221
E00380,L0041,C009,2026-03-15,2026-03-15,2026-05-07,100,완료,522
E00381,L0089,C028,2025-11-24,2025-11-24,2026-01-22,100,완료,211
E00382,L0111,C050,2026-03-28,2026-03-28,,38,중단,438
E00383,L0063,C022,2025-09-18,2025-09-18,2025-10-17,100,완료,5
E00384,L0054,C002,2026-06-08,2026-06-08,2026-06-29,100,완료,149
E00385,L0104,C022,2025-06-29,2025-06-29,2025-08-06,100,완료,12
E00386,L0195,C019,2026-04-23,2026-04-23,,22,진행중,82
E00387,L0087,C048,2025-10-13,2025-10-13,2025-10-29,100,완료,294
E00388,L0083,C043,2025-12-02,2025-12-02,,64,진행중,35
