학습자ID,이름,부서,직급,가입일,회사
L0064,직원64,영업팀,사원,2025-09-17,회사1
L0065,직원65,인사팀,주임,2026-01-11,회사3
L0066,직원66,기획팀,주임,2026-03-04,회사3
L0067,직원67,마케팅팀,주임,2026-02-19,회사1
L0068,직원68,마케팅팀,과장,2026-06-09,회사1
L0069,직원69,기획팀,과장,2026-05-05,회사3
L0070,직원70,인사팀,사원,2026-03-04,회사3
L0071,직원71,개발팀,과장,2026-01-10,회사2
L0072,직원72,인사팀,과장,2026-03-28,회사1
L0073,직원73,마케팅팀,과장,2025-09-30,회사3
L0074,직원74,기획팀,사원,2026-03-04,회사1
L0075,직원75,재무팀,주임,2025-07-08,회사2
L0076,직원76,기획팀,대리,2025-11-15,회사1
L0077,직원77,인사팀,과장,2026-01-01,회사1
L0078,직원78,기획팀,부장,2025-08-11,회사3
L0079,직원79,개발팀,사원,2026-02-03,회사1
L0080,직원80,마케팅팀,대리,2026-05-20,회사2
L0081,직원81,기획팀,부장,2026-04-21,회사2
L0082,직원82,개발팀,대리,2025-10-28,회사1
L0083,직원83,기획팀,사원,2025-08-31,회사3
L0084,직원84,인사팀,부장,2025-07-29,회사3
L0085,직원85,마케팅팀,대리,2025-12-01,회사1
L0086,직원86,인사팀,과장,2025-11-03,회사2
L0087,직원87,재무팀,부장,2026-06-05,회사3
L0088,직원88,마케팅팀,사원,2026-05-05,회사1
L0089,직원89,인사팀,부장,2026-03-08,회사3
L0090,직원90,마케팅팀,사원,2026-02-15,회사3
L0091,직원91,재무팀,부장,2026-01-01,회사3
L0092,직원92,영업팀,사원,2025-10-31,회사2
L0093,직원93,영업팀,대리,2025-06-16,회사2
L0094,직원94,영업팀,주임,2026-02-04,회사3
L0095,직원95,영업팀,주임,2025-09-11,회사1
L0096,직원96,인사팀,대리,2025-10-08,회사3
L0097,직원97,재무팀,주임,2025-10-07,회사2
L0098,직원98,개발팀,주임,2026-05-29,회사2
L0099,직원99,인사팀,과장,2025-12-20,회사1
L0100,직원100,기획팀,과장,2026-01-19,회사2
L0101,직원101,영업팀,대리,2026-01-09,회사2
L0102,직원102,기획팀,부장,2026-01-12,회사2
L0103,직원103,영업팀,사원,2025-12-13,회사2
L0104,직원104,기획팀,대리,2026-03-02,회사1
L0105,직원105,재무팀,과장,2026-02-23,회사1
L0106,직원106,마케팅팀,부장,2025-06-26,회사3
L0107,직원107,개발팀,과장,2026-01-18,회사1
L0108,직원108,영업팀,과장,2026-02-25,회사2
L0109,직원109,개발팀,사원,2026-02-11,회사3
L0110,직원110,개발팀,과장,2026-04-14,회사3
L0111,직원111,영업팀,부장,2026-02-14,회사2
L0112,직원112,인사팀,과장,2026-02-02,회사2
L0113,직원113,영업팀,사원,2025-10-15,회사2
L0114,직원114,기획팀,사원,2025-10-17,회사1
L0115,직원115,인사팀,부장,2025-12-01,회사3
L0116,직원116,재무팀,부장,2025-10-07,회사3
L0117,직원117,마케팅팀,주임,2026-01-18,회사3
L0118,직원118,재무팀,사원,2025-08-30,회사2
L0119,직원119,마케팅팀,부장,2026-04-25,회사1
L0120,직원120,기획팀,과장,2025-11-19,회사2
L0121,직원121,영업팀,부장,2026-05-03,회사1
L0122,직원122,기획팀,부장,2026-05-19,회사2
L0123,직원123,영업팀,부장,2026-03-03,회사2
L0124,직원124,마케팅팀,주임,2025-10-04,회사3
L0125,직원125,영업팀,사원,2025-07-21,회사1
L0126,직원126,마케팅팀,주임,2026-01-02,회사3
L0127,직원127,마케팅팀,과장,2025-12-15,회사3
L0128,직원128,마케팅팀,사원,2025-12-14,회사3
L0129,직원129,재무팀,과장,2025-07-23,회사1
L0130,직원130,인사팀,주임,2026-04-29,회사1
L0131,직원131,재무팀,과장,2026-03-08,회사2
L0132,직원132,영업팀,부장,2025-10-12,회사3
L0133,직원133,인사팀,주임,2025-09-20,회사1
L0134,직원134,영업팀,주임,2026-03-13,회사2
L0135,직원135,영업팀,대리,2026-02-26,회사3
L0136,직원136,마케팅팀,주임,2026-02-17,회사1
L0137,직원137,개발팀,부장,2025-11-06,회사1
L0138,직원138,재무팀,사원,2025-12-29,회사2
L0139,직원139,재무팀,사원,2025-12-01,회사3
L0140,직원140,인사팀,대리,2026-05-06,회사2
L0141,직원141,인사팀,부장,2025-09-16,회사1
L0142,직원142,재무팀,사원,2025-06-21,회사1
L0143,직원143,기획팀,사원,2026-04-10,회사1
L0144,직원144,기획팀,부장,2025-12-06,회사3
L0145,직원145,인사팀,과장,2025-10-21,회사3
L0146,직원146,마케팅팀,사원,2025-08-31,회사2
L0147,직원147,마케팅팀,대리,2026-01-18,회사1
L0148,직원148,재무팀,대리,2026-05-17,회사3
L0149,직원149,재무팀,과장,2026-04-19,회사3
L0150,직원150,인사팀,부장,2025-12-12,회사2
L0151,직원151,영업팀,주임,2026-01-29,회사3
L0152,직원152,재무팀,대리,2025-07-15,회사2
L0153,직원153,마케팅팀,사원,2026-03-29,회사2
L0154,직원154,마케팅팀,사원,2025-10-01,회사2
L0155,직원155,기획팀,부장,2025-12-25,회사2
L0156,직원156,인사팀,주임,2025-09-01,회사2
L0157,직원157,영업팀,부장,2026-05-13,회사1
L0158,직원158,기획팀,대리,2026-01-26,회사1
L0159,직원159,인사팀,과장,2026-01-17,회사3
L0160,직원160,인사팀,부장,2026-01-30,회사2
L0161,직원161,마케팅팀,대리,2025-06-12,회사2
L0162,직원162,개발팀,주임,2025-06-30,회사3
L0163,직원163,기획팀,대리,2025-12-20,회사1
L0164,직원164,영업팀,과장,2026-02-05,회사2
L0165,직원165,마케팅팀,과장,2025-07-29,회사3
L0166,직원166,인사팀,사원,2025-06-28,회사2
L0167,직원167,인사팀,과장,2025-08-03,회사1
L0168,직원168,기획팀,부장,2026-01-28,회사2
L0169,직원169,마케팅팀,부장,2026-01-02,회사1
L0170,직원170,재무팀,부장,2026-03-23,회사2
L0171,직원171,재무팀,대리,2025-10-02,회사1
L0172,직원172,마케팅팀,대리,2026-01-15,회사1
L0173,직원173,영업팀,사원,2025-08-10,회사2
L0174,직원174,인사팀,부장,2026-04-18,회사2
L0175,직원175,개발팀,사원,2026-05-30,회사2
L0176,직원176,기획팀,과장,2026-01-06,회사1
L0177,직원177,영업팀,과장,2025-12-29,회사2
L0178,직원178,영업팀,과장,2025-12-15,회사1
L0179,직원179,인사팀,과장,2025-12-01,회사3
L0180,직원180,기획팀,사원,2025-11-22,회사1
L0181,직원181,재무팀,과장,2025-11-03,회사1
L0182,직원182,재무팀,대리,2025-10-01,회사2
L0183,직원183,영업팀,대리,2025-09-28,회사1
L0184,직원184,인사팀,주임,2026-06-01,회사2
L0185,직원185,영업팀,대리,2025-06-11,회사1
L0186,직원186,인사팀,사원,2026-01-16,회사3
L0187,직원187,인사팀,대리,2025-07-05,회사2
L0188,직원188,인사팀,대리,2025-09-01,회사1
L0189,직원189,재무팀,사원,2026-03-05,회사1
L0190,직원190,개발팀,사원,2025-08-04,회사2
L0191,직원191,마케팅팀,사원,2025-11-26,회사3
L0192,직원192,재무팀,대리,2026-05-19,회사1
L0193,직원193,재무팀,부장,2025-11-21,회사2
L0194,직원194,개발팀,사원,2026-03-18,회사2
L0195,직원195,인사팀,사원,2026-04-21,회사1
L0196,직원196,재무팀,과장,2025-08-27,회사2
L0197,직원197,마케팅팀,주임,2025-10-04,회사2
L0198,직원198,기획팀,대리,2025-08-09,회사1
L0199,직원199,기획팀,과장,2025-11-01,회사3
L0200,직원200,인사팀,사원,2026-02-19,회사3
