수강번호,학습자ID,강좌ID,시험점수,과제점수,참여도,합격여부,평가일
E00105,L0165,C035,76,96,보통,합격,2026-07-03
E00108,L0108,C020,74,78,높음,불합격,2026-03-15
E00109,L0134,C046,99,87,보통,합격,2025-12-24
E00112,L0188,C029,71,98,보통,합격,2025-08-08
E00114,L0129,C023,86,81,낮음,합격,2026-01-02
E00119,L0083,C038,63,79,낮음,합격,2026-06-26
E00121,L0056,C044,78,98,낮음,합격,2025-12-09
E00124,L0039,C004,95,90,높음,불합격,2026-02-08
E00126,L0015,C012,82,83,높음,합격,2025-08-03
E00129,L0162,C042,66,92,낮음,합격,2025-08-17
E00130,L0170,C001,95,93,보통,합격,2026-01-27
E00133,L0095,C027,74,83,낮음,불합격,2026-07-11
E00135,L0129,C005,71,83,높음,합격,2026-07-06
E00137,L0171,C008,87,74,낮음,합격,2025-09-25
E00138,L0126,C035,86,84,낮음,합격,2026-04-19
E00144,L0072,C023,81,98,보통,불합격,2026-03-18
E00145,L0096,C041,88,78,높음,합격,2026-03-08
E00151,L0193,C001,87,81,낮음,합격,2025-10-08
E00153,L0102,C025,74,98,높음,합격,2026-05-19
E00154,L0034,C026,69,77,높음,합격,2025-09-18
E00155,L0160,C023,78,77,높음,합격,2026-04-27
E00158,L0175,C034,65,94,보통,합격,2025-10-03
E00161,L0090,C017,63,90,높음,합격,2026-07-16
E00163,L0097,C033,85,75,낮음,합격,2026-05-25
E00164,L0095,C030,62,71,보통,합격,2026-05-26
E00166,L0010,C024,60,81,보통,합격,2025-09-19
E00167,L0012,C006,61,90,낮음,합격,2025-07-25
E00170,L0149,C048,68,95,보통,합격,2025-09-22
E00171,L0123,C032,65,77,높음,합격,2025-09-01
E00173,L0114,C009,65,96,보통,합격,2026-02-10
E00174,L0038,C019,89,98,낮음,합격,2026-04-23
E00175,L0076,C016,68,76,높음,합격,2026-03-26
E00178,L0120,C040,98,91,낮음,합격,2025-11-06
E00180,L0019,C035,96,74,낮음,합격,2026-01-06
E00182,L0086,C035,76,92,보통,합격,2025-08-08
E00184,L0001,C042,90,81,보통,합격,2026-07-04
E00185,L0119,C024,77,86,높음,합격,2026-01-17
E00186,L0186,C041,67,92,낮음,합격,2025-12-17
E00187,L0070,C047,79,70,높음,합격,2026-06-15
E00190,L0188,C025,91,72,보통,합격,2025-09-06
E00193,L0096,C013,97,92,보통,불합격,2026-01-22
E00194,L0028,C044,93,97,보통,합격,2025-10-20
E00196,L0145,C010,76,85,낮음,합격,2026-04-02
E00198,L0018,C020,81,93,낮음,합격,2026-03-15
E00199,L0084,C042,77,73,낮음,합격,2025-09-13
E00204,L0156,C041,69,72,낮음,합격,2026-06-02
E00206,L0039,C047,87,89,낮음,합격,2026-01-07
E00207,L0103,C018,70,86,높음,합격,2025-12-17
E00208,L0041,C028,96,97,높음,합격,2025-12-31
E00212,L0064,C039,64,89,보통,합격,2025-07-19
E00213,L0192,C021,73,76,높음,합격,2025-12-01
E00214,L0132,C003,76,77,보통,합격,2026-03-15
E00215,L0158,C027,61,75,낮음,합격,2026-05-31
E00216,L0125,C034,66,71,보통,합격,2025-07-10
E00217,L0008,C009,65,74,낮음,합격,2025-12-18
E00219,L0144,C020,72,74,높음,합격,2026-03-11
E00220,L0027,C033,96,70,보통,합격,2025-11-09
E00221,L0193,C018,92,76,높음,합격,2025-11-08
E00223,L0169,C024,96,76,낮음,합격,2026-06-22
E00224,L0176,C020,62,77,높음,합격,2026-05-30
E00225,L0070,C014,67,73,높음,합격,2026-01-04
E00226,L0006,C016,96,78,낮음,합격,2025-12-17
E00227,L0129,C017,81,77,높음,합격,2026-04-15
E00228,L0006,C042,65,89,높음,합격,2026-02-01
E00229,L0071,C024,89,73,낮음,불합격,2026-05-05
E00232,L0090,C037,88,80,낮음,합격,2026-07-15
E00233,L0167,C027,90,80,보통,합격,2025-12-23
E00234,L0057,C012,91,86,높음,합격,2026-05-22
E00235,L0091,C014,66,98,높음,합격,2025-10-12
E00237,L0179,C034,88,95,보통,합격,2025-08-17
E00239,L0057,C027,78,84,낮음,합격,2026-05-11
E00240,L0056,C001,92,78,높음,불합격,2025-07-29
E00242,L0032,C045,79,70,높음,합격,2025-12-24
E00244,L0106,C043,90,94,보통,합격,2025-09-04
E00245,L0052,C015,78,78,낮음,합격,2026-06-16
E00247,L0134,C017,90,73,보통,불합격,2026-05-30
E00248,L0178,C038,75,85,높음,합격,2025-12-20
E00254,L0009,C006,97,77,보통,합격,2026-02-15
E00257,L0144,C018,78,88,낮음,불합격,2025-09-28
E00260,L0103,C010,63,74,보통,합격,2025-09-26
E00261,L0162,C021,91,72,낮음,합격,2026-05-01
E00272,L0097,C021,77,99,높음,합격,2025-11-04
E00274,L0054,C021,74,80,높음,합격,2025-09-20
E00276,L0132,C048,94,83,보통,합격,2026-01-23
E00277,L0143,C023,73,87,낮음,합격,2026-04-30
E00279,L0163,C026,94,84,낮음,합격,2025-07-26
E00280,L0173,C017,80,73,낮음,합격,2025-11-26
E00282,L0136,C049,99,98,낮음,합격,2026-04-05
E00283,L0125,C035,70,91,높음,합격,2025-10-14
E00284,L0022,C010,64,82,보통,불합격,2026-06-05
E00286,L0074,C001,78,96,보통,합격,2025-06-29
E00287,L0164,C042,63,80,보통,합격,2025-12-25
E00288,L0017,C003,75,93,보통,합격,2025-11-25
E00289,L0118,C040,65,93,낮음,합격,2025-09-02
E00291,L0182,C039,64,85,보통,불합격,2025-08-03
E00292,L0071,C003,80,94,보통,합격,2025-11-21
E00293,L0105,C029,95,94,보통,합격,2026-01-22
E00294,L0174,C043,89,83,낮음,합격,2026-03-12
E00296,L0172,C026,71,77,높음,합격,2025-06-21
E00298,L0126,C048,75,71,높음,합격,2026-05-28
E00299,L0149,C044,63,91,낮음,합격,2026-02-27
E00301,L0130,C034,79,79,높음,합격,2026-03-14
E00302,L0155,C017,76,96,보통,합격,2025-09-29
E00304,L0073,C026,62,80,낮음,합격,2026-06-13
E00305,L0135,C034,85,90,높음,합격,2026-05-10
E00307,L0112,C020,83,88,보통,합격,2026-05-26
E00308,L0003,C042,65,82,보통,합격,2025-10-14
E00314,L0069,C014,72,94,높음,합격,2026-03-08
E00318,L0044,C036,88,77,보통,합격,2026-04-28
E00319,L0107,C022,62,80,보통,합격,2026-04-15
E00321,L0046,C018,84,96,높음,합격,2026-04-01
E00323,L0163,C006,62,71,높음,합격,2026-05-28
E00327,L0046,C032,60,75,높음,합격,2025-09-01
E00328,L0072,C004,80,76,보통,합격,2026-02-20
E00330,L0101,C033,73,83,보통,합격,2026-02-10
E00335,L0015,C009,86,92,낮음,합격,2026-04-03
E00336,L0123,C035,60,87,낮음,합격,2025-12-12
E00338,L0005,C024,66,81,낮음,합격,2025-07-29
E00341,L0033,C045,62,98,낮음,합격,2025-08-05
E00342,L0073,C049,96,94,보통,합격,2025-12-15
E00347,L0038,C050,60,98,보통,합격,2026-04-04
E00348,L0189,C030,77,97,보통,합격,2026-02-04
E00350,L0152,C001,63,98,낮음,합격,2025-07-20
E00351,L0110,C029,90,70,높음,합격,2026-06-11
E00355,L0136,C049,78,87,높음,합격,2025-12-01
E00356,L0034,C050,74,80,높음,불합격,2026-04-26
E00357,L0194,C027,94,89,낮음,합격,2026-05-14
E00358,L0040,C045,73,79,높음,합격,2026-01-20
E00363,L0127,C042,89,84,보통,합격,2026-02-18
E00365,L0098,C043,76,81,높음,합격,2026-07-12
E00366,L0114,C038,82,78,보통,불합격,2026-03-29
E00367,L0042,C035,70,81,높음,합격,2026-03-10
E00369,L0002,C038,69,76,보통,합격,2026-05-10
E00376,L0122,C009,91,89,높음,합격,2025-07-29
E00378,L0106,C046,93,84,낮음,불합격,2026-01-05
E00379,L0124,C043,77,97,낮음,합격,2026-04-13
E00380,L0041,C009,73,70,보통,합격,2026-05-07
E00381,L0089,C028,77,76,높음,합격,2026-01-22
E00383,L0063,C022,84,83,높음,합격,2025-10-17
E00384,L0054,C002,93,90,보통,합격,2026-06-29
E00385,L0104,C022,78,96,낮음,합격,2025-08-06
E00387,L0087,C048,72,85,보통,합격,2025-10-29
E00389,L0162,C009,86,86,높음,불합격,2026-03-06
E00390,L0023,C048,72,89,낮음,합격,2025-09-14
E00394,L0159,C022,86,93,보통,합격,2026-03-14
E00396,L0125,C018,99,89,낮음,합격,2026-05-22
E00397,L0160,C049,94,99,보통,합격,2025-09-10
E00400,L0075,C031,79,90,낮음,합격,2025-09-24
E00405,L0061,C039,62,84,높음,합격,2026-01-22
E00407,L0070,C018,69,87,보통,합격,2026-03-17
E00408,L0012,C004,91,73,보통,합격,2025-09-04
E00409,L0134,C026,79,98,높음,합격,2025-08-05
E00410,L0154,C028,94,94,보통,합격,2026-03-13
E00411,L0004,C011,71,83,낮음,합격,2025-10-09
E00413,L0172,C010,79,91,보통,합격,2026-02-13
E00415,L0082,C027,88,80,낮음,합격,2025-09-09
E00417,L0008,C045,73,88,낮음,합격,2025-11-18
E00418,L0172,C004,84,78,높음,합격,2026-02-25
E00419,L0102,C038,91,78,보통,합격,2026-03-07
E00420,L0171,C045,66,73,낮음,합격,2026-07-03
E00421,L0029,C018,90,71,보통,합격,2025-11-24
E00423,L0102,C028,95,98,높음,합격,2026-02-28
E00426,L0037,C049,61,88,보통,합격,2026-01-18
E00428,L0084,C009,81,81,높음,합격,2026-05-08
E00429,L0018,C002,96,83,낮음,불합격,2026-04-12
E00430,L0175,C025,68,93,낮음,합격,2026-02-10
E00435,L0184,C005,82,74,보통,합격,2026-04-03
E00436,L0044,C017,91,90,낮음,합격,2026-04-24
E00439,L0038,C011,77,95,보통,합격,2026-03-12
E00443,L0090,C001,89,83,보통,합격,2025-08-20
E00444,L0135,C010,64,70,낮음,합격,2026-01-22
E00446,L0167,C039,72,88,높음,합격,2026-03-19
E00447,L0067,C018,91,71,낮음,불합격,2025-08-20
E00448,L0115,C036,71,78,낮음,합격,2026-01-10
E00450,L0136,C016,64,72,높음,합격,2026-03-26
E00451,L0074,C032,76,80,높음,합격,2025-09-15
E00455,L0154,C049,72,77,보통,합격,2025-11-21
E00457,L0104,C036,61,78,낮음,합격,2026-04-11
E00459,L0169,C023,80,75,보통,합격,2025-12-21
E00460,L0166,C047,69,81,높음,불합격,2025-07-28
E00461,L0112,C002,91,72,높음,합격,2025-12-27
E00465,L0143,C034,69,83,높음,합격,2026-03-19
E00468,L0042,C014,60,72,높음,합격,2025-10-08
E00470,L0025,C022,95,77,높음,합격,2025-11-28
E00471,L0200,C018,70,89,낮음,합격,2026-01-10
E00472,L0105,C013,71,85,높음,합격,2026-05-29
E00473,L0014,C036,70,83,낮음,불합격,2025-12-24
E00474,L0033,C030,96,98,높음,합격,2026-02-02
E00475,L0037,C030,99,71,보통,합격,2026-01-30
E00476,L0131,C031,85,97,보통,합격,2026-01-07
E00477,L0055,C038,93,93,낮음,합격,2025-12-14
E00478,L0106,C003,70,94,낮음,합격,2025-12-31
E00480,L0136,C015,69,72,높음,합격,2025-11-14
E00481,L0173,C017,66,84,보통,합격,2025-09-16
E00486,L0117,C001,71,94,낮음,합격,2026-03-16
E00489,L0002,C028,68,83,높음,합격,2026-02-17
E00491,L0141,C012,64,79,높음,합격,2026-02-15
E00492,L0030,C034,95,95,보통,합격,2025-12-13
E00497,L0077,C034,91,89,보통,합격,2026-05-10
E00498,L0048,C044,62,75,보통,합격,2026-02-05
E00501,L0171,C035,96,73,낮음,합격,2026-03-31
E00502,L0177,C042,60,90,보통,합격,2026-01-23
E00504,L0125,C011,67,81,낮음,합격,2025-11-15
E00505,L0146,C048,67,83,보통,합격,2026-03-30
E00507,L0101,C005,63,71,낮음,합격,2026-06-18
E00509,L0155,C011,89,94,보통,합격,2025-07-12
E00510,L0057,C005,84,80,보통,합격,2025-07-24
E00515,L0143,C008,84,83,보통,합격,2026-02-14
E00518,L0051,C043,79,88,보통,합격,2026-03-15
E00520,L0113,C033,78,94,높음,불합격,2026-05-01
E00523,L0078,C009,78,74,보통,합격,2026-02-26
E00524,L0083,C013,91,73,보통,합격,2025-10-28
E00526,L0069,C010,97,93,보통,합격,2025-12-02
E00527,L0062,C004,80,74,낮음,합격,2025-06-23
E00528,L0144,C021,67,80,보통,불합격,2026-01-10
E00536,L0137,C009,68,78,높음,합격,2026-07-06
E00537,L0037,C023,95,88,높음,합격,2026-01-21
E00538,L0016,C050,76,93,보통,합격,2026-07-19
E00540,L0145,C015,97,73,낮음,합격,2026-01-23
E00541,L0185,C011,60,81,높음,합격,2026-04-30
E00543,L0083,C003,97,71,보통,합격,2026-04-29
E00545,L0105,C025,84,82,높음,합격,2026-06-15
E00548,L0191,C031,93,96,낮음,합격,2026-05-22
E00551,L0115,C039,93,83,낮음,합격,2026-06-08
E00553,L0004,C030,78,89,높음,합격,2025-07-18
E00555,L0072,C001,76,76,보통,합격,2025-08-11
E00557,L0155,C047,92,91,높음,합격,2026-01-11
E00558,L0077,C015,75,80,보통,합격,2025-09-26
E00562,L0141,C022,61,74,보통,합격,2025-09-08
E00563,L0103,C050,74,71,높음,합격,2025-12-27
E00564,L0171,C033,93,86,높음,합격,2025-09-21
E00567,L0093,C010,75,73,높음,합격,2026-07-14
E00568,L0165,C034,92,91,낮음,합격,2026-05-31
E00570,L0082,C004,70,82,높음,합격,2025-08-30
E00571,L0142,C035,95,95,낮음,합격,2026-06-14
E00573,L0166,C012,67,89,높음,합격,2026-05-23
E00576,L0047,C006,75,86,높음,합격,2025-10-21
E00578,L0088,C006,95,89,낮음,합격,2025-10-08
E00579,L0087,C026,72,91,높음,합격,2026-05-13
E00580,L0188,C044,71,75,낮음,불합격,2025-10-29
E00584,L0098,C043,96,86,낮음,합격,2026-05-03
E00585,L0037,C007,86,73,낮음,합격,2026-01-01
E00586,L0018,C041,73,77,보통,합격,2026-04-19
E00587,L0153,C014,94,94,보통,불합격,2026-06-01
E00590,L0053,C014,80,83,낮음,합격,2025-11-11
E00592,L0093,C026,63,92,보통,합격,2026-02-04
E00594,L0092,C012,81,74,높음,합격,2026-02-25
E00595,L0068,C013,72,99,높음,합격,2025-09-14
E00596,L0089,C002,80,70,높음,합격,2025-08-17
E00599,L0071,C014,73,71,낮음,합격,2026-05-13
E00600,L0151,C019,70,90,낮음,합격,2026-02-15
E00601,L0090,C010,95,94,낮음,합격,2025-10-27
E00604,L0189,C047,91,81,보통,합격,2025-12-26
E00605,L0142,C030,83,75,보통,합격,2025-12-01
E00608,L0189,C047,83,84,높음,합격,2025-06-30
E00609,L0081,C011,75,97,보통,합격,2026-02-07
E00613,L0076,C050,65,80,높음,합격,2026-02-24
E00618,L0036,C030,94,95,높음,합격,2025-08-05
E00619,L0079,C012,76,80,낮음,합격,2026-06-12
E00620,L0077,C026,68,74,보통,합격,2026-02-21
E00624,L0107,C048,65,88,보통,합격,2025-08-01
E00629,L0010,C033,87,80,보통,합격,2026-03-20
E00631,L0054,C025,89,93,높음,합격,2025-11-01
E00632,L0162,C025,76,94,보통,합격,2026-02-10
E00633,L0105,C033,78,82,보통,합격,2026-03-16
E00634,L0007,C019,61,85,보통,합격,2025-07-28
E00635,L0088,C040,61,75,낮음,합격,2026-04-19
E00636,L0142,C040,68,70,높음,합격,2026-01-24
E00639,L0144,C020,87,86,높음,합격,2026-03-20
E00643,L0061,C012,96,70,낮음,합격,2025-11-30
E00645,L0156,C011,89,75,높음,합격,2026-03-20
E00646,L0133,C029,79,93,낮음,합격,2026-06-27
E00647,L0083,C026,82,76,낮음,합격,2026-03-29
E00649,L0085,C015,71,98,높음,합격,2026-02-07
E00650,L0165,C013,94,77,보통,불합격,2025-09-14
E00651,L0178,C001,87,94,보통,합격,2026-03-07
E00652,L0182,C003,62,81,보통,합격,2026-04-04
E00654,L0147,C004,98,81,높음,합격,2025-10-25
E00657,L0135,C031,94,73,낮음,합격,2026-03-22
E00658,L0183,C005,68,75,높음,합격,2026-03-01
E00659,L0143,C035,67,80,보통,합격,2025-11-15
E00662,L0028,C049,77,71,높음,합격,2025-07-30
E00664,L0188,C023,65,72,높음,합격,2026-03-04
E00667,L0085,C010,74,98,보통,합격,2025-09-13
E00672,L0149,C007,72,84,높음,합격,2026-03-10
E00673,L0185,C002,96,74,보통,불합격,2026-06-15
E00674,L0061,C015,82,96,보통,불합격,2025-07-20
E00675,L0189,C031,93,85,낮음,합격,2025-10-21
E00678,L0135,C023,97,97,보통,합격,2026-03-26
E00679,L0161,C048,74,95,낮음,합격,2025-08-06
E00680,L0179,C020,74,70,보통,합격,2025-10-06
E00681,L0021,C029,65,91,높음,합격,2025-09-01
E00682,L0077,C008,98,91,낮음,합격,2026-03-24
E00684,L0046,C031,94,71,낮음,합격,2026-01-25
E00685,L0029,C008,70,91,보통,합격,2026-04-02
E00687,L0066,C023,73,83,높음,합격,2026-05-24
E00690,L0048,C037,90,92,보통,합격,2025-07-31
E00691,L0179,C016,96,78,높음,합격,2025-09-29
E00692,L0117,C029,81,93,보통,합격,2026-02-03
E00695,L0187,C012,88,94,낮음,합격,2026-03-02
E00699,L0125,C036,71,92,낮음,합격,2026-06-07
E00700,L0185,C003,76,96,높음,합격,2025-10-06
E00702,L0067,C024,96,75,높음,합격,2025-11-01
E00704,L0063,C035,88,78,보통,합격,2026-05-18
E00708,L0031,C005,74,81,보통,합격,2026-02-02
E00709,L0166,C007,84,72,낮음,불합격,2026-07-12
E00711,L0095,C007,70,89,높음,합격,2026-03-29
E00713,L0159,C011,70,77,보통,합격,2026-03-18
E00714,L0118,C046,80,94,보통,합격,2026-06-21
E00715,L0162,C009,73,87,보통,합격,2026-07-12
E00716,L0171,C011,70,85,높음,합격,2025-08-19
E00720,L0159,C011,62,79,높음,합격,2026-06-04
E00722,L0116,C033,94,85,높음,합격,2025-10-06
E00724,L0124,C012,64,75,보통,합격,2026-07-03
E00727,L0114,C035,68,84,보통,합격,2025-12-06
E00734,L0122,C043,70,72,낮음,합격,2025-10-17
E00735,L0020,C036,76,76,높음,합격,2026-06-23
E00736,L0195,C006,68,86,높음,합격,2025-09-16
E00737,L0136,C021,86,77,높음,합격,2026-03-21
E00738,L0074,C034,61,77,높음,합격,2025-08-17
E00740,L0130,C029,65,77,낮음,합격,2026-02-10
E00741,L0195,C046,93,93,높음,합격,2026-02-22
E00743,L0006,C026,89,89,높음,합격,2025-09-13
E00744,L0183,C038,92,99,낮음,불합격,2026-01-06
E00746,L0109,C050,75,98,낮음,합격,2026-07-14
E00749,L0153,C038,76,75,높음,합격,2026-02-01
E00751,L0113,C025,93,77,높음,합격,2025-10-04
E00755,L0056,C008,88,82,보통,합격,2026-02-13
E00759,L0082,C033,93,77,낮음,합격,2026-02-14
E00761,L0192,C038,80,75,높음,합격,2025-10-26
E00762,L0028,C013,97,96,보통,합격,2025-09-03
E00764,L0195,C007,65,80,낮음,합격,2026-03-02
E00765,L0118,C041,69,89,낮음,합격,2025-11-03
E00769,L0171,C002,90,89,낮음,합격,2025-11-25
E00770,L0009,C038,78,90,낮음,합격,2026-03-13
E00771,L0011,C050,60,77,낮음,합격,2025-08-06
E00772,L0154,C027,71,75,낮음,합격,2025-09-24
E00780,L0144,C022,91,85,보통,합격,2026-07-04
E00781,L0086,C031,84,75,낮음,합격,2025-12-01
E00783,L0191,C003,69,74,보통,합격,2026-04-13
E00786,L0001,C048,67,88,높음,합격,2025-09-19
E00787,L0197,C001,96,77,보통,합격,2026-01-24
E00789,L0109,C041,86,81,높음,합격,2026-04-25
E00791,L0153,C032,79,94,보통,합격,2025-10-11
E00792,L0181,C036,67,78,낮음,합격,2025-08-29
E00794,L0145,C023,73,99,낮음,합격,2025-10-08
E00795,L0032,C013,97,78,높음,합격,2025-12-29
E00799,L0199,C037,96,91,낮음,합격,2026-06-03
E00800,L0179,C032,61,93,보통,불합격,2026-03-12
E00801,L0099,C018,65,79,보통,합격,2025-07-31
E00802,L0042,C026,63,77,높음,합격,2026-03-30
E00804,L0039,C016,92,95,높음,합격,2026-01-02
E00805,L0043,C038,86,90,보통,합격,2026-03-11
E00806,L0070,C015,69,71,보통,합격,2026-06-06
E00808,L0062,C036,67,81,높음,합격,2026-01-30
E00810,L0101,C045,92,94,높음,합격,2025-12-11
E00815,L0164,C044,98,90,낮음,합격,2026-05-08
E00818,L0042,C019,78,95,높음,합격,2026-03-30
E00821,L0165,C040,70,74,높음,합격,2025-09-23
E00822,L0109,C031,71,88,보통,합격,2026-06-27
E00824,L0165,C020,66,95,낮음,합격,2026-03-29
E00825,L0110,C045,67,90,높음,합격,2025-12-06
E00826,L0107,C022,80,94,낮음,합격,2026-05-15
E00828,L0100,C048,76,98,높음,합격,2026-05-08
E00830,L0172,C040,64,92,낮음,합격,2026-06-16
E00833,L0087,C048,65,78,높음,합격,2025-10-10
E00836,L0143,C009,88,72,보통,합격,2026-06-26
E00837,L0198,C036,96,81,보통,합격,2026-07-22
E00838,L0077,C002,63,79,높음,합격,2026-05-01
E00839,L0166,C004,88,77,낮음,합격,2025-09-27
E00841,L0040,C005,75,98,보통,합격,2026-06-15
E00844,L0036,C013,86,99,높음,합격,2025-12-11
E00847,L0055,C033,85,82,보통,합격,2026-01-09
E00848,L0053,C048,95,89,보통,불합격,2025-08-02
E00849,L0039,C015,72,91,낮음,합격,2026-05-29
E00850,L0153,C025,94,99,높음,합격,2026-03-15
E00851,L0078,C030,87,98,낮음,합격,2025-10-03
E00854,L0046,C037,71,98,높음,합격,2025-08-14
E00855,L0078,C013,63,95,낮음,합격,2026-05-28
E00858,L0099,C025,85,80,높음,합격,2025-12-13
E00864,L0141,C050,61,87,보통,합격,2025-08-02
E00865,L0079,C047,63,96,낮음,합격,2025-06-25
E00866,L0103,C017,67,87,낮음,합격,2025-08-03
E00868,L0075,C022,95,80,낮음,합격,2025-07-17
E00869,L0172,C007,60,79,높음,합격,2026-05-31
E00870,L0134,C046,67,72,보통,합격,2025-12-02
E00871,L0172,C008,85,88,보통,합격,2025-12-22
E00872,L0004,C036,78,73,보통,합격,2026-01-20
E00873,L0007,C032,99,76,높음,합격,2026-02-09
E00874,L0113,C036,69,75,보통,합격,2026-05-20
E00876,L0033,C041,94,86,낮음,합격,2026-01-28
E00878,L0177,C035,69,78,높음,합격,2025-09-16
E00882,L0085,C046,87,91,낮음,합격,2025-11-15
E00883,L0176,C038,81,84,보통,합격,2025-10-30
E00884,L0165,C031,78,90,보통,합격,2026-03-21
E00885,L0148,C046,83,97,낮음,합격,2025-08-12
E00886,L0159,C049,91,71,보통,합격,2026-01-09
E00887,L0123,C001,96,70,높음,합격,2026-01-07
E00888,L0038,C023,82,83,낮음,합격,2026-01-09
E00890,L0092,C020,89,80,높음,불합격,2025-09-28
E00895,L0181,C050,64,92,낮음,합격,2025-11-01
E00897,L0130,C005,98,99,낮음,합격,2026-05-31
E00901,L0077,C008,75,75,낮음,합격,2026-02-05
E00904,L0102,C049,66,75,높음,합격,2025-09-14
E00905,L0093,C017,60,82,낮음,합격,2025-08-11
E00906,L0122,C016,73,94,낮음,합격,2026-01-28
E00910,L0124,C040,67,70,높음,합격,2025-08-15
E00912,L0180,C026,70,76,낮음,합격,2026-04-07
E00913,L0028,C010,95,79,보통,합격,2026-04-26
E00918,L0071,C031,99,72,낮음,합격,2026-03-18
E00919,L0004,C036,69,82,낮음,합격,2025-12-02
E00922,L0146,C047,83,92,낮음,합격,2025-08-05
E00925,L0034,C033,77,88,보통,합격,2026-05-10
E00926,L0151,C040,80,84,보통,합격,2026-02-14
E00934,L0173,C046,89,79,보통,합격,2025-12-19
E00937,L0185,C023,77,81,보통,합격,2026-05-04
E00938,L0158,C015,73,90,높음,불합격,2026-05-04
E00941,L0053,C033,68,89,보통,합격,2026-03-22
E00942,L0033,C003,92,92,낮음,합격,2026-06-20
E00943,L0197,C017,64,89,낮음,합격,2026-01-10
E00944,L0022,C008,83,73,높음,합격,2026-05-22
E00945,L0077,C007,62,93,높음,합격,2026-06-19
E00946,L0163,C027,75,83,보통,합격,2025-07-29
E00947,L0153,C044,95,87,보통,불합격,2025-11-15
E00949,L0003,C028,63,83,낮음,불합격,2026-02-18
E00951,L0003,C002,77,76,보통,합격,2026-06-19
E00952,L0191,C021,77,94,낮음,합격,2025-10-20
E00954,L0137,C014,71,83,높음,합격,2026-02-18
E00963,L0027,C033,88,96,낮음,합격,2026-04-29
E00964,L0149,C041,69,96,보통,합격,2025-11-20
E00965,L0108,C007,71,71,높음,합격,2025-09-27
E00966,L0057,C012,95,91,보통,합격,2025-11-26
E00970,L0043,C042,80,76,낮음,합격,2025-11-06
E00973,L0012,C007,73,93,높음,합격,2025-08-09
E00974,L0059,C023,82,79,높음,합격,2026-01-30
E00975,L0198,C020,80,76,높음,합격,2025-09-03
E00977,L0163,C032,88,70,높음,합격,2026-07-15
E00978,L0099,C041,73,84,낮음,합격,2025-09-07
E00979,L0059,C044,90,93,보통,불합격,2026-01-06
E00980,L0123,C044,72,77,낮음,합격,2025-11-21
E00981,L0072,C044,70,75,높음,합격,2025-07-27
E00986,L0033,C019,99,92,보통,합격,2026-04-24
